Target,Source,Weight,Type
Janos Pach,M. Klugerman,2,Undirected
Boris Aronov,D. J. Kleitman,2,Undirected
Boris Aronov,P. Erdos,2,Undirected
D. J. Kleitman,P. Erdos,2,Undirected
Janos Pach,D. J. Kleitman,2,Undirected
Janos Pach,P. Erdos,5,Undirected
S. J. Fortune,Boris Aronov,4,Undirected
S. J. Fortune,G. T. Wilfong,6,Undirected
Boris Aronov,G. T. Wilfong,3,Undirected
Jacob E. Goodman,Boris Aronov,2,Undirected
Jacob E. Goodman,Richard Pollack,32,Undirected
Richard Pollack,Raphael Wenger,13,Undirected
Jacob E. Goodman,Raphael Wenger,11,Undirected
Boris Aronov,Jiri Matousek,3,Undirected
Micha Sharir,Jiri Matousek,9,Undirected
D. Q. Naiman,Janos Pach,1,Undirected
Micha Sharir,D. Q. Naiman,1,Undirected
D. Q. Naiman,Boris Aronov,1,Undirected
Boris Aronov,Colm O'Dunlaing,1,Undirected
Boris Aronov,Marco Pellegrini,1,Undirected
Diane L. Souvaine,Raimund Seidel,1,Undirected
Diane L. Souvaine,Boris Aronov,1,Undirected
Boaz Tagansky,Boris Aronov,1,Undirected
Micha Sharir,Boaz Tagansky,5,Undirected
Sanjeev Arora,Z. Sweedyk,1,Undirected
Sanjeev Arora,J. Stern,1,Undirected
Sanjeev Arora,L. Babai,1,Undirected
Z. Sweedyk,J. Stern,1,Undirected
Z. Sweedyk,L. Babai,1,Undirected
L. Babai,J. Stern,1,Undirected
Andrzej Woloszyn,Michelangelo Grigni,1,Undirected
Sanjeev Arora,Michelangelo Grigni,1,Undirected
Michelangelo Grigni,Philip Klein,1,Undirected
David R. Karger,Michelangelo Grigni,1,Undirected
Sanjeev Arora,Andrzej Woloszyn,1,Undirected
Andrzej Woloszyn,Philip Klein,1,Undirected
Andrzej Woloszyn,David R. Karger,1,Undirected
Sanjeev Arora,Philip Klein,1,Undirected
Sanjeev Arora,David R. Karger,1,Undirected
David R. Karger,Philip Klein,1,Undirected
Sanjeev Arora,Carsten Lund,2,Undirected
Rajeev Motwani,Sanjeev Arora,1,Undirected
Rajeev Motwani,Carsten Lund,1,Undirected
Rajeev Motwani,Mario Szegedy,1,Undirected
Rajeev Motwani,M. Sudan,1,Undirected
Sanjeev Arora,Mario Szegedy,1,Undirected
Sanjeev Arora,M. Sudan,1,Undirected
Carsten Lund,Mario Szegedy,1,Undirected
Carsten Lund,M. Sudan,1,Undirected
Mario Szegedy,M. Sudan,1,Undirected
Prabhakar Raghavan,Satish B. Rao,2,Undirected
Sanjeev Arora,Satish B. Rao,2,Undirected
Sanjeev Arora,Prabhakar Raghavan,2,Undirected
P. Koch,D. Arques,1,Undirected
D. K. Arrowsmith,C. M. Smith,1,Undirected
G. T. Herman,E. Artzy,1,Undirected
G. T. Herman,G. Frieder,1,Undirected
E. Artzy,G. Frieder,1,Undirected
K. S. Arun,T. S. Huang,1,Undirected
S. D. Blostein,K. S. Arun,1,Undirected
S. D. Blostein,T. S. Huang,1,Undirected
V. Arvind,J. Kobler,1,Undirected
M. Mundhenk,J. Kobler,1,Undirected
V. Arvind,M. Mundhenk,1,Undirected
J. Arvo,D. Kirk,1,Undirected
A. Arya,A. Kumar,1,Undirected
V. Swaminathan,A. Kumar,1,Undirected
A. Misra,A. Kumar,1,Undirected
V. Swaminathan,A. Arya,1,Undirected
A. Arya,A. Misra,1,Undirected
V. Swaminathan,A. Misra,1,Undirected
David M. Mount,Siu-Wing Cheng,2,Undirected
Siu-Wing Cheng,Sunil Arya,2,Undirected
David M. Mount,Sunil Arya,15,Undirected
Sunil Arya,Gautam Das,1,Undirected
Michiel H. M. Smid,Sunil Arya,7,Undirected
Sunil Arya,Jeffrey S. Salowe,1,Undirected
David M. Mount,Gautam Das,1,Undirected
Gautam Das,Jeffrey S. Salowe,2,Undirected
David M. Mount,Michiel H. M. Smid,4,Undirected
Michiel H. M. Smid,Jeffrey S. Salowe,1,Undirected
David M. Mount,Jeffrey S. Salowe,1,Undirected
Sunil Arya,O. Narayan,3,Undirected
David M. Mount,O. Narayan,3,Undirected
Sunil Arya,Ruth Silverman,2,Undirected
Sunil Arya,Nathan S. Netanyahu,2,Undirected
Sunil Arya,A. Wu,2,Undirected
Nathan S. Netanyahu,Ruth Silverman,7,Undirected
David M. Mount,Ruth Silverman,9,Undirected
Ruth Silverman,A. Wu,3,Undirected
David M. Mount,Nathan S. Netanyahu,19,Undirected
Nathan S. Netanyahu,A. Wu,2,Undirected
David M. Mount,A. Wu,3,Undirected
H. Asada,A. B. By,1,Undirected
H. Asada,J.-J. E. Slotine,1,Undirected
Danny Z. Chen,Tetsuo Asano,2,Undirected
Takeshi Tokuyama,Tetsuo Asano,13,Undirected
Tetsuo Asano,Naoki Katoh,8,Undirected
Takeshi Tokuyama,Danny Z. Chen,2,Undirected
Danny Z. Chen,Naoki Katoh,2,Undirected
Takeshi Tokuyama,Naoki Katoh,8,Undirected
Desh Ranjan,Tetsuo Asano,2,Undirected
Peter Widmayer,Tetsuo Asano,2,Undirected
Tetsuo Asano,Emo Welzl,2,Undirected
Tetsuo Asano,Thomas Roos,3,Undirected
Desh Ranjan,Peter Widmayer,2,Undirected
Desh Ranjan,Emo Welzl,2,Undirected
Desh Ranjan,Thomas Roos,2,Undirected
Peter Widmayer,Emo Welzl,2,Undirected
Peter Widmayer,Thomas Roos,6,Undirected
Emo Welzl,Thomas Roos,2,Undirected
Tetsuo Asano,Takao Asano,9,Undirected
Leonidas J. Guibas,Hiroshi Imai,2,Undirected
Leonidas J. Guibas,John Hershbergera,1,Undirected
Leonidas J. Guibas,Takao Asano,2,Undirected
Leonidas J. Guibas,Tetsuo Asano,4,Undirected
Hiroshi Imai,John Hershbergera,1,Undirected
Hiroshi Imai,Takao Asano,11,Undirected
Hiroshi Imai,Tetsuo Asano,6,Undirected
John Hershbergera,Takao Asano,1,Undirected
Tetsuo Asano,John Hershbergera,1,Undirected
John E. Hershberger,Hiroshi Imai,1,Undirected
John E. Hershberger,Takao Asano,1,Undirected
John E. Hershberger,Tetsuo Asano,2,Undirected
Ron Y. Pinter,Tetsuo Asano,1,Undirected
Ron Y. Pinter,Takao Asano,1,Undirected
Masao Iri,Hiroshi Imai,8,Undirected
Hiroshi Imai,Masato Edahiro,1,Undirected
Hiroshi Imai,K. Murota,2,Undirected
Masao Iri,Takao Asano,2,Undirected
Masato Edahiro,Takao Asano,5,Undirected
Takao Asano,K. Murota,1,Undirected
Masao Iri,Masato Edahiro,2,Undirected
Masao Iri,K. Murota,9,Undirected
Masato Edahiro,K. Murota,1,Undirected
Takao Asano,Tomio Hirata,1,Undirected
T. Ohtsuki,M. Sato,3,Undirected
M. Sato,Takao Asano,1,Undirected
T. Ohtsuki,Takao Asano,1,Undirected
Tetsuo Asano,Y. Ohsuga,1,Undirected
Takao Asano,Y. Ohsuga,1,Undirected
F. Frances Yao,Binay K. Bhattacharya,1,Undirected
F. Frances Yao,Tetsuo Asano,1,Undirected
F. Frances Yao,J. Mark Keila,1,Undirected
Binay K. Bhattacharya,Tetsuo Asano,1,Undirected
Binay K. Bhattacharya,J. Mark Keila,1,Undirected
Tetsuo Asano,J. Mark Keila,1,Undirected
Thomas C. Shermer,Subir Kumar Ghosh,1,Undirected
Tetsuo Asano,Subir Kumar Ghosh,1,Undirected
Thomas C. Shermer,Tetsuo Asano,1,Undirected
Leonidas J. Guibas,Takeshi Tokuyama,2,Undirected
John E. Hershberger,Janos Pach,3,Undirected
Janos Pach,E. Sontag,1,Undirected
Diane L. Souvaine,Janos Pach,1,Undirected
Tetsuo Asano,Janos Pach,1,Undirected
Subash Suri,Janos Pach,1,Undirected
John E. Hershberger,E. Sontag,1,Undirected
John E. Hershberger,Diane L. Souvaine,1,Undirected
John E. Hershberger,Subash Suri,27,Undirected
Diane L. Souvaine,E. Sontag,1,Undirected
Tetsuo Asano,E. Sontag,1,Undirected
Subash Suri,E. Sontag,1,Undirected
Diane L. Souvaine,Tetsuo Asano,1,Undirected
Diane L. Souvaine,Subash Suri,1,Undirected
Tetsuo Asano,Subash Suri,1,Undirected
Keiko Imai,Michael E. Houle,4,Undirected
Tetsuo Asano,Keiko Imai,2,Undirected
Tetsuo Asano,Michael E. Houle,1,Undirected
Hiroshi Imai,Michael E. Houle,4,Undirected
Elena Lodi,Thomas Roos,1,Undirected
Elena Lodi,Naoki Katoh,1,Undirected
Tetsuo Asano,Elena Lodi,1,Undirected
Thomas Roos,Naoki Katoh,1,Undirected
Hisao Tamaki,Tetsuo Asano,1,Undirected
Hisao Tamaki,Naoki Katoh,1,Undirected
Chee-Keng Yap,Tetsuo Asano,1,Undirected
David G. Kirkpatrick,Tetsuo Asano,1,Undirected
David G. Kirkpatrick,Chee-Keng Yap,4,Undirected
Godfried T. Toussaint,Tetsuo Asano,2,Undirected
H. Umeo,Tetsuo Asano,3,Undirected
Gregoria Blanco,Binhai Zhu,2,Undirected
Jesus Garcia-Lopez,Binhai Zhu,2,Undirected
B. Asberg,Binhai Zhu,2,Undirected
Godfried T. Toussaint,Binhai Zhu,6,Undirected
Prosenjit K. Bose,Binhai Zhu,5,Undirected
Binhai Zhu,G. T. Wilfong,2,Undirected
Mark H. Overmars,Binhai Zhu,2,Undirected
Gregoria Blanco,Jesus Garcia-Lopez,3,Undirected
Gregoria Blanco,B. Asberg,2,Undirected
Gregoria Blanco,Godfried T. Toussaint,2,Undirected
Gregoria Blanco,Prosenjit K. Bose,2,Undirected
Gregoria Blanco,G. T. Wilfong,2,Undirected
Gregoria Blanco,Mark H. Overmars,2,Undirected
Jesus Garcia-Lopez,B. Asberg,2,Undirected
Jesus Garcia-Lopez,Godfried T. Toussaint,2,Undirected
Jesus Garcia-Lopez,Prosenjit K. Bose,2,Undirected
Jesus Garcia-Lopez,G. T. Wilfong,2,Undirected
Mark H. Overmars,Jesus Garcia-Lopez,2,Undirected
Godfried T. Toussaint,B. Asberg,2,Undirected
B. Asberg,Prosenjit K. Bose,2,Undirected
B. Asberg,G. T. Wilfong,2,Undirected
Mark H. Overmars,B. Asberg,2,Undirected
Godfried T. Toussaint,Prosenjit K. Bose,21,Undirected
Godfried T. Toussaint,G. T. Wilfong,2,Undirected
Prosenjit K. Bose,G. T. Wilfong,3,Undirected
Mark H. Overmars,Prosenjit K. Bose,5,Undirected
Mark H. Overmars,G. T. Wilfong,4,Undirected
F. Aschim,B. M. Mostue,1,Undirected
Peter F. Ash,Walter Whiteley,1,Undirected
Ethan D. Bolker,Walter Whiteley,1,Undirected
Henry Crapo,Walter Whiteley,3,Undirected
Peter F. Ash,Ethan D. Bolker,3,Undirected
Peter F. Ash,Henry Crapo,1,Undirected
Henry Crapo,Ethan D. Bolker,1,Undirected
D. Hoang,J. Ashton,1,Undirected
L. Asimov,B. Roth,2,Undirected
M. Herlihy,J. Aspnes,1,Undirected
Y. Shiloac,B. Aspvall,1,Undirected
Danny Z. Chen,Mikhail J. Atallah,11,Undirected
Chandrajit L. Bajaj,Mikhail J. Atallah,1,Undirected
Paul B. Callahan,Michael T. Goodrich,3,Undirected
Paul B. Callahan,Mikhail J. Atallah,2,Undirected
Michael T. Goodrich,Mikhail J. Atallah,17,Undirected
Danny Z. Chen,Kevin S. Klenk,7,Undirected
Mikhail J. Atallah,Kevin S. Klenk,1,Undirected
Danny Z. Chen,H. Wagener,1,Undirected
H. Wagener,Mikhail J. Atallah,1,Undirected
Michael T. Goodrich,R. Cole,7,Undirected
Mikhail J. Atallah,R. Cole,3,Undirected
Jyh-Jong Tsay,Russ Miller,2,Undirected
Andrew Rau-Chaplin,Russ Miller,3,Undirected
Mikhail J. Atallah,Russ Miller,2,Undirected
Frank Dehne,Russ Miller,3,Undirected
Jyh-Jong Tsay,Andrew Rau-Chaplin,2,Undirected
Jyh-Jong Tsay,Mikhail J. Atallah,3,Undirected
Jyh-Jong Tsay,Frank Dehne,2,Undirected
Andrew Rau-Chaplin,Mikhail J. Atallah,2,Undirected
Andrew Rau-Chaplin,Frank Dehne,14,Undirected
Mikhail J. Atallah,Frank Dehne,2,Undirected
Andreas Fabri,Mikhail J. Atallah,2,Undirected
Greg N. Frederickson,Mikhail J. Atallah,2,Undirected
Greg N. Frederickson,S. Rao Kosaraju,1,Undirected
Mikhail J. Atallah,S. Rao Kosaraju,10,Undirected
Kumar Ramaiyer,Michael T. Goodrich,4,Undirected
Kumar Ramaiyer,Mikhail J. Atallah,1,Undirected
Susanne E. Hambrusch,Mikhail J. Atallah,2,Undirected
Mikhail J. Atallah,J. Manning,4,Undirected
Mikhail J. Atallah,C. C. Ribeiro,2,Undirected
C. C. Ribeiro,S. Lifschitz,2,Undirected
Mikhail J. Atallah,S. Lifschitz,2,Undirected
David M. Mount,A. Athavale,1,Undirected
Kevin Weiler,P. Atherton,2,Undirected
Donald P. Greenberg,P. Atherton,1,Undirected
Donald P. Greenberg,Kevin Weiler,1,Undirected
P. E. Ney,K. B. Athreya,1,Undirected
I. Gargantini,T. R. S. Walsch,1,Undirected
H. H. Atkinson,T. R. S. Walsch,1,Undirected
I. Gargantini,H. H. Atkinson,3,Undirected
I. Gargantini,T. R. S. Walsh,1,Undirected
H. H. Atkinson,T. R. S. Walsh,1,Undirected
Jorg-Rudiger Sack,M. D. Atkinson,4,Undirected
Thomas Strothotte,N. Santoro,1,Undirected
M. D. Atkinson,N. Santoro,1,Undirected
Jorg-Rudiger Sack,N. Santoro,5,Undirected
Thomas Strothotte,M. D. Atkinson,1,Undirected
Jorg-Rudiger Sack,Thomas Strothotte,3,Undirected
D. Attali,J.-O. Lachaud,1,Undirected
J. W. Atwood,R. A. Walpole,1,Undirected
S. Yang,J. W. Atwood,1,Undirected
J. W. Atwood,M. M. Burnett,1,Undirected
J. W. Atwood,E. M. Wilcox,1,Undirected
S. Yang,R. A. Walpole,1,Undirected
M. M. Burnett,R. A. Walpole,1,Undirected
E. M. Wilcox,R. A. Walpole,1,Undirected
S. Yang,M. M. Burnett,1,Undirected
S. Yang,E. M. Wilcox,1,Undirected
M. M. Burnett,E. M. Wilcox,1,Undirected
Martin Held,T. Auer,1,Undirected
H. Schaeben,S. Auerbach,1,Undirected
J. M. Augenbaum,C. S. Peskin,1,Undirected
P. Persiano,D. Parente,1,Undirected
D. Parente,V. Auletta,1,Undirected
P. Persiano,V. Auletta,1,Undirected
Gunter Aumann,Klaus Spitzmuller,1,Undirected
Y. Aumann,K. V. Palem,1,Undirected
Z. M. Kedem,K. V. Palem,1,Undirected
M. O. Rabin,K. V. Palem,1,Undirected
Y. Aumann,Z. M. Kedem,1,Undirected
Y. Aumann,M. O. Rabin,1,Undirected
Z. M. Kedem,M. O. Rabin,1,Undirected
H. E. Conn,Joseph O'Rourke,4,Undirected
L. J. Aupperle,Joseph O'Rourke,1,Undirected
J. Mark Keil,Joseph O'Rourke,1,Undirected
L. J. Aupperle,H. E. Conn,1,Undirected
J. Mark Keil,H. E. Conn,1,Undirected
J. Mark Keil,L. J. Aupperle,2,Undirected
Herbert Edelsbrunner,Franz Aurenhammer,1,Undirected
A. A. Schaffer,R. M. Idury,1,Undirected
A. A. Schaffer,Franz Aurenhammer,1,Undirected
Frank Wagner,A. A. Schaffer,1,Undirected
Michael Formann,A. A. Schaffer,1,Undirected
R. M. Idury,Franz Aurenhammer,1,Undirected
Frank Wagner,R. M. Idury,1,Undirected
Michael Formann,R. M. Idury,1,Undirected
Frank Wagner,Franz Aurenhammer,1,Undirected
Michael Formann,Franz Aurenhammer,1,Undirected
Frank Wagner,Michael Formann,6,Undirected
J. Hagauer,Franz Aurenhammer,1,Undirected
W. Imrich,Franz Aurenhammer,1,Undirected
J. Hagauer,W. Imrich,1,Undirected
Friedrich Hoffmann,Franz Aurenhammer,3,Undirected
Boris Aronov,Franz Aurenhammer,3,Undirected
Friedrich Hoffmann,Boris Aronov,3,Undirected
Hiroshi Imai,Franz Aurenhammer,3,Undirected
Otfried Schwarzkopf,Franz Aurenhammer,3,Undirected
Franz Aurenhammer,Gerd Stockl,3,Undirected
Emo Welzl,Franz Aurenhammer,1,Undirected
Emo Welzl,Gerd Stockl,1,Undirected
Leen Stougie,Giorgio Ausiello,1,Undirected
Giorgio Ausiello,Esteban Feuerstein,1,Undirected
Giorgio Ausiello,Stefano Leonardi,1,Undirected
Maurizio Talamo,Giorgio Ausiello,1,Undirected
Leen Stougie,Esteban Feuerstein,1,Undirected
Leen Stougie,Stefano Leonardi,1,Undirected
Maurizio Talamo,Leen Stougie,1,Undirected
Esteban Feuerstein,Stefano Leonardi,1,Undirected
Maurizio Talamo,Esteban Feuerstein,1,Undirected
Maurizio Talamo,Stefano Leonardi,1,Undirected
Giorgio Ausiello,U. Nanni,1,Undirected
Giorgio Ausiello,A. Marchetti-Spaccamela,1,Undirected
Giorgio Ausiello,Giuseppe F. Italiano,1,Undirected
A. Marchetti-Spaccamela,U. Nanni,1,Undirected
Giuseppe F. Italiano,U. Nanni,1,Undirected
Giuseppe F. Italiano,A. Marchetti-Spaccamela,1,Undirected
S. P. Austin,R. B. Jerard,1,Undirected
Robert L. Scot Drysdale,S. P. Austin,1,Undirected
Robert L. Scot Drysdale,R. B. Jerard,5,Undirected
S. V. Sevastjanov,S. V. Avgustinovich,1,Undirected
Z. Aviad,E. Shamir,1,Undirected
Ferran Hurtado,Binhai Zhu,3,Undirected
Luc P. Devroye,Binhai Zhu,5,Undirected
David M. Avis,Binhai Zhu,4,Undirected
E. Guevremont,Binhai Zhu,3,Undirected
Binhai Zhu,B. Beresford-Smith,3,Undirected
Hossam A. El-Gindy,Binhai Zhu,3,Undirected
Ferran Hurtado,Luc P. Devroye,3,Undirected
Ferran Hurtado,David M. Avis,3,Undirected
Ferran Hurtado,E. Guevremont,3,Undirected
Ferran Hurtado,B. Beresford-Smith,3,Undirected
Ferran Hurtado,Hossam A. El-Gindy,3,Undirected
Luc P. Devroye,David M. Avis,3,Undirected
Luc P. Devroye,E. Guevremont,3,Undirected
Luc P. Devroye,B. Beresford-Smith,3,Undirected
Luc P. Devroye,Hossam A. El-Gindy,3,Undirected
David M. Avis,E. Guevremont,3,Undirected
David M. Avis,B. Beresford-Smith,3,Undirected
David M. Avis,Hossam A. El-Gindy,9,Undirected
E. Guevremont,B. Beresford-Smith,3,Undirected
Hossam A. El-Gindy,E. Guevremont,3,Undirected
Hossam A. El-Gindy,B. Beresford-Smith,3,Undirected
David M. Avis,Binay K. Bhattacharya,4,Undirected
Binay K. Bhattacharya,Hiroshi Imai,2,Undirected
David M. Avis,Hiroshi Imai,4,Undirected
Jack Scott Snoeyink,David M. Avis,1,Undirected
Jack Scott Snoeyink,Godfried T. Toussaint,1,Undirected
Jack Scott Snoeyink,Prosenjit K. Bose,3,Undirected
Jack Scott Snoeyink,Thomas C. Shermer,1,Undirected
Jack Scott Snoeyink,Binhai Zhu,1,Undirected
David M. Avis,Godfried T. Toussaint,7,Undirected
David M. Avis,Prosenjit K. Bose,1,Undirected
Thomas C. Shermer,David M. Avis,1,Undirected
Thomas C. Shermer,Godfried T. Toussaint,5,Undirected
Thomas C. Shermer,Prosenjit K. Bose,6,Undirected
Thomas C. Shermer,Binhai Zhu,3,Undirected
David M. Avis,David Bremner,2,Undirected
David Bremner,Raimund Seidel,1,Undirected
David M. Avis,Raimund Seidel,2,Undirected
David M. Avis,V. Chvatal,1,Undirected
David M. Avis,B. Davis,1,Undirected
J. M. Steele,David M. Avis,1,Undirected
J. M. Steele,B. Davis,1,Undirected
David M. Avis,M. Deza,1,Undirected
David M. Avis,M. Doskas,3,Undirected
Hossam A. El-Gindy,Raimund Seidel,1,Undirected
David M. Avis,Janos Pach,2,Undirected
David M. Avis,P. Erdos,2,Undirected
David M. Avis,K. Fukuda,7,Undirected
V. P. Grishukhin,David M. Avis,1,Undirected
T. Gum,Godfried T. Toussaint,1,Undirected
David M. Avis,T. Gum,1,Undirected
Joseph D. Horton,David M. Avis,1,Undirected
David M. Avis,Michael E. Houle,2,Undirected
David M. Avis,C. M. Kong,1,Undirected
David M. Avis,David H. Rappaport,2,Undirected
David M. Avis,Raphael Wenger,4,Undirected
Raphael Wenger,Jean-Marc Robert,1,Undirected
David M. Avis,Jean-Marc Robert,1,Undirected
Binay K. Bhattacharya,Godfried T. Toussaint,14,Undirected
S. Avital,H. Hanani,1,Undirected
Jean-Daniel Boissonnat,Francis Avnaim,10,Undirected
Olivier Devillers,Francis Avnaim,3,Undirected
Jean-Daniel Boissonnat,Olivier Devillers,34,Undirected
Mariette Yvinec,Olivier Devillers,20,Undirected
Franco P. Preparata,Olivier Devillers,15,Undirected
Mariette Yvinec,Francis Avnaim,3,Undirected
Franco P. Preparata,Francis Avnaim,3,Undirected
Franco P. Preparata,Mariette Yvinec,7,Undirected
Bernard Faverjon,Francis Avnaim,2,Undirected
Jean-Daniel Boissonnat,Bernard Faverjon,2,Undirected
J. Avro,D. Kirk,1,Undirected
B. Awerbuch,Yossi Azar,3,Undirected
S. Vempala,Yossi Azar,3,Undirected
Avrim Blum,Yossi Azar,3,Undirected
B. Awerbuch,S. Vempala,3,Undirected
B. Awerbuch,Avrim Blum,3,Undirected
S. Vempala,Avrim Blum,5,Undirected
B. Awerbuch,D. Peleg,2,Undirected
L. Cowen,D. Peleg,1,Undirected
Bonnie Berger,D. Peleg,1,Undirected
B. Awerbuch,L. Cowen,1,Undirected
Bonnie Berger,B. Awerbuch,1,Undirected
Bonnie Berger,L. Cowen,1,Undirected
Jean-Daniel Boissonnat,Bernhard Geiger,5,Undirected
Jean-Daniel Boissonnat,P. Sander,1,Undirected
Jean-Daniel Boissonnat,L. Cohen,1,Undirected
Jean-Daniel Boissonnat,J. Levy-Vehel,1,Undirected
Jean-Daniel Boissonnat,O. Monga,1,Undirected
Jean-Daniel Boissonnat,N. Ayache,1,Undirected
P. Sander,Bernhard Geiger,1,Undirected
Bernhard Geiger,L. Cohen,1,Undirected
Bernhard Geiger,J. Levy-Vehel,1,Undirected
Bernhard Geiger,O. Monga,1,Undirected
Bernhard Geiger,N. Ayache,1,Undirected
P. Sander,L. Cohen,1,Undirected
P. Sander,J. Levy-Vehel,1,Undirected
P. Sander,O. Monga,1,Undirected
P. Sander,N. Ayache,1,Undirected
L. Cohen,J. Levy-Vehel,1,Undirected
L. Cohen,O. Monga,1,Undirected
L. Cohen,N. Ayache,1,Undirected
O. Monga,J. Levy-Vehel,1,Undirected
J. Levy-Vehel,N. Ayache,1,Undirected
O. Monga,N. Ayache,1,Undirected
Bernard Faverjon,N. Ayache,1,Undirected
P. Brunet,I. Navazo,3,Undirected
D. Ayala,I. Navazo,1,Undirected
R. Juan,I. Navazo,1,Undirected
P. Brunet,D. Ayala,1,Undirected
P. Brunet,R. Juan,1,Undirected
D. Ayala,R. Juan,1,Undirected
J. Rubio,R. Ayala,1,Undirected
A. Quintero,R. Ayala,1,Undirected
A. R. Frances,R. Ayala,1,Undirected
E. Dominguez,R. Ayala,1,Undirected
A. Quintero,J. Rubio,1,Undirected
J. Rubio,A. R. Frances,1,Undirected
J. Rubio,E. Dominguez,1,Undirected
A. Quintero,A. R. Frances,1,Undirected
A. Quintero,E. Dominguez,1,Undirected
A. R. Frances,E. Dominguez,1,Undirected
Doug J. Ierardi,Cavit Aydin,1,Undirected
Leah Epstein,Yossi Azar,1,Undirected
N. N. Metelskii,V. N. Martynchik,1,Undirected
A. S. Azarenok,V. N. Martynchik,1,Undirected
N. N. Metelskii,A. S. Azarenok,1,Undirected
J. H. Bohn,M. J. Wozny,1,Undirected
L. Babai,P. Frankl,1,Undirected
B. Just,Friedhelm Meyer auf der Heide,1,Undirected
L. Babai,Friedhelm Meyer auf der Heide,1,Undirected
B. Just,L. Babai,1,Undirected
Diane L. Souvaine,Mark Babikov,1,Undirected
Diane L. Souvaine,Raphael Wenger,2,Undirected
Raphael Wenger,Mark Babikov,1,Undirected
I. Babuska,A. K. Aziz,1,Undirected
R. Bajcsy,N. I. Badler,1,Undirected
Kyung-Yong Chwa,N. Baek,2,Undirected
Sung Yong Shin,N. Baek,2,Undirected
Kyung-Yong Chwa,Sung Yong Shin,3,Undirected
M. Henrion,A. Baer,1,Undirected
C. M. Eastman,A. Baer,1,Undirected
M. Henrion,C. M. Eastman,1,Undirected
R. Baeza-Yates,Gregory J. E. Rawlins,2,Undirected
Joseph C. Culberson,Gregory J. E. Rawlins,3,Undirected
Joseph C. Culberson,R. Baeza-Yates,2,Undirected
R. Baeza-Yates,M. Regnier,1,Undirected
Rene Schott,R. Baeza-Yates,1,Undirected
Bala Kalyanasundaram,Kirk Pruhs,5,Undirected
Kirk Pruhs,Vineet Bafna,1,Undirected
Bala Kalyanasundaram,Vineet Bafna,1,Undirected
Jay Bagga,J. McGrew,1,Undirected
Laxmi P. Gewali,J. McGrew,1,Undirected
J. Emert,J. McGrew,1,Undirected
S. Dey,J. McGrew,1,Undirected
Laxmi P. Gewali,Jay Bagga,3,Undirected
Jay Bagga,J. Emert,1,Undirected
Jay Bagga,S. Dey,1,Undirected
Laxmi P. Gewali,J. Emert,1,Undirected
Laxmi P. Gewali,S. Dey,1,Undirected
S. Dey,J. Emert,1,Undirected
Jay Bagga,D. Glasser,1,Undirected
Laxmi P. Gewali,D. Glasser,2,Undirected
Simeon Ntafos,Laxmi P. Gewali,10,Undirected
Simeon Ntafos,Jay Bagga,1,Undirected
J. Cowles,T. Bailey,1,Undirected
M. Raghavan,R. Brockett,1,Undirected
R. M. Murray,M. Raghavan,1,Undirected
S. Sastry,M. Raghavan,1,Undirected
J. Baillieul,M. Raghavan,1,Undirected
B. R. Donald,M. Raghavan,1,Undirected
R. M. Murray,R. Brockett,1,Undirected
S. Sastry,R. Brockett,1,Undirected
J. Baillieul,R. Brockett,2,Undirected
B. R. Donald,R. Brockett,2,Undirected
R. M. Murray,S. Sastry,1,Undirected
R. M. Murray,J. Baillieul,1,Undirected
R. M. Murray,B. R. Donald,1,Undirected
J. Baillieul,S. Sastry,1,Undirected
B. R. Donald,S. Sastry,1,Undirected
J. Baillieul,B. R. Donald,2,Undirected
S. J. Fortune,S. E. Jones,1,Undirected
S. J. Fortune,H. S. Baird,1,Undirected
S. E. Jones,H. S. Baird,1,Undirected
B. Bajaj,A. V. Royappa,1,Undirected
Chandrajit L. Bajaj,V. Anupam,1,Undirected
D. R. Schikore,V. Anupam,1,Undirected
Chandrajit L. Bajaj,D. R. Schikore,7,Undirected
Chandrajit L. Bajaj,Fausto Bernardini,7,Undirected
Chandrajit L. Bajaj,Guoliang Xu,4,Undirected
Fausto Bernardini,Guoliang Xu,2,Undirected
Chandrajit L. Bajaj,J. Warren,2,Undirected
Chandrajit L. Bajaj,T. Garrity,2,Undirected
Chandrajit L. Bajaj,John F. Canny,1,Undirected
J. Warren,T. Garrity,3,Undirected
J. Warren,John F. Canny,1,Undirected
John F. Canny,T. Garrity,1,Undirected
Guoliang Xu,Jianer Chen,1,Undirected
Chandrajit L. Bajaj,Jianer Chen,4,Undirected
Chandrajit L. Bajaj,Tamal K. Dey,9,Undirected
R. E. Lynch,Chandrajit L. Bajaj,2,Undirected
Chandrajit L. Bajaj,Christoph M. Hoffmann,1,Undirected
Chandrajit L. Bajaj,J. E. Hopcroft,2,Undirected
R. E. Lynch,Christoph M. Hoffmann,1,Undirected
R. E. Lynch,J. E. Hopcroft,2,Undirected
Christoph M. Hoffmann,J. E. Hopcroft,10,Undirected
Chandrajit L. Bajaj,I. Ihm,2,Undirected
Chandrajit L. Bajaj,M. Kim,1,Undirected
M.-S. Kim,Chandrajit L. Bajaj,8,Undirected
Chandrajit L. Bajaj,M. Li,2,Undirected
T. T. Moh,Chandrajit L. Bajaj,2,Undirected
Chandrajit L. Bajaj,A. V. Royappa,3,Undirected
Chandrajit L. Bajaj,W. J. Bouma,1,Undirected
